id,dttm,dag_id,task_id,map_index,event,execution_date,owner,extra
35,2025-09-10 21:43:52.761946+03,,,,cli_migratedb,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
36,2025-09-10 21:43:53.979889+03,,,,cli_migratedb,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
37,2025-09-10 21:43:55.804116+03,,,,cli_users_create,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
38,2025-09-10 21:43:57.167507+03,,,,cli_users_create,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
39,2025-09-10 21:44:00.171772+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
40,2025-09-10 21:44:01.556041+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
41,2025-09-10 21:44:04.137339+03,,,,cli_migratedb,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
42,2025-09-10 21:44:05.496425+03,,,,cli_migratedb,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
43,2025-09-10 21:44:07.164317+03,,,,cli_users_create,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
44,2025-09-10 21:44:08.665064+03,,,,cli_users_create,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
45,2025-09-10 21:44:13.273415+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
46,2025-09-10 21:44:14.547932+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
47,2025-09-10 21:44:17.245547+03,,,,cli_migratedb,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
48,2025-09-10 21:44:18.685558+03,,,,cli_migratedb,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
49,2025-09-10 21:44:20.415928+03,,,,cli_users_create,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
50,2025-09-10 21:44:21.797588+03,,,,cli_users_create,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
51,2025-09-10 21:44:29.506465+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
52,2025-09-10 21:44:30.897744+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
53,2025-09-10 21:44:33.44511+03,,,,cli_migratedb,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
54,2025-09-10 21:44:34.747035+03,,,,cli_migratedb,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
55,2025-09-10 21:44:36.499402+03,,,,cli_users_create,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
56,2025-09-10 21:44:37.821306+03,,,,cli_users_create,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
57,2025-09-10 21:44:52.184724+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
58,2025-09-10 21:44:53.523257+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
59,2025-09-10 21:44:56.056308+03,,,,cli_migratedb,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
60,2025-09-10 21:44:57.447996+03,,,,cli_migratedb,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
61,2025-09-10 21:44:59.121013+03,,,,cli_users_create,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
62,2025-09-10 21:45:00.624011+03,,,,cli_users_create,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
63,2025-09-10 21:45:27.571407+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
64,2025-09-10 21:45:29.021349+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
65,2025-09-10 21:45:31.659019+03,,,,cli_migratedb,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
66,2025-09-10 21:45:33.071185+03,,,,cli_migratedb,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
67,2025-09-10 21:45:34.769357+03,,,,cli_users_create,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
68,2025-09-10 21:45:36.025594+03,,,,cli_users_create,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
69,2025-09-10 21:46:28.724721+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
70,2025-09-10 21:46:29.892235+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
71,2025-09-10 21:46:32.704081+03,,,,cli_migratedb,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
72,2025-09-10 21:46:34.139284+03,,,,cli_migratedb,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
73,2025-09-10 21:46:36.025049+03,,,,cli_users_create,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
74,2025-09-10 21:46:37.176473+03,,,,cli_users_create,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
75,2025-09-10 21:46:38.949691+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
76,2025-09-10 21:46:40.23906+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
77,2025-09-10 21:46:43.065624+03,,,,cli_migratedb,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
78,2025-09-10 21:46:44.457335+03,,,,cli_migratedb,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
79,2025-09-10 21:46:46.400787+03,,,,cli_users_create,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
80,2025-09-10 21:46:47.529421+03,,,,cli_users_create,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
81,2025-09-10 21:46:49.26343+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
82,2025-09-10 21:46:50.538702+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
83,2025-09-10 21:46:53.309914+03,,,,cli_migratedb,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
84,2025-09-10 21:46:54.513203+03,,,,cli_migratedb,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
85,2025-09-10 21:46:56.582608+03,,,,cli_users_create,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
86,2025-09-10 21:46:57.885818+03,,,,cli_users_create,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
87,2025-09-10 21:46:59.583385+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
88,2025-09-10 21:47:00.901058+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
89,2025-09-10 21:47:03.693099+03,,,,cli_migratedb,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
90,2025-09-10 21:47:04.938386+03,,,,cli_migratedb,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
91,2025-09-10 21:47:06.971363+03,,,,cli_users_create,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
92,2025-09-10 21:47:08.237294+03,,,,cli_users_create,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
93,2025-09-10 21:47:10.126231+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
94,2025-09-10 21:47:11.295449+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
95,2025-09-10 21:47:14.194767+03,,,,cli_migratedb,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
96,2025-09-10 21:47:15.339064+03,,,,cli_migratedb,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
97,2025-09-10 21:47:17.384297+03,,,,cli_users_create,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
98,2025-09-10 21:47:18.491275+03,,,,cli_users_create,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
99,2025-09-10 21:47:20.339212+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
100,2025-09-10 21:47:21.571112+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
101,2025-09-10 21:47:24.330239+03,,,,cli_migratedb,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
102,2025-09-10 21:47:25.572358+03,,,,cli_migratedb,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
103,2025-09-10 21:47:27.510577+03,,,,cli_users_create,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
104,2025-09-10 21:47:28.807667+03,,,,cli_users_create,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
105,2025-09-10 21:47:30.47507+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
106,2025-09-10 21:47:32.112186+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
