id,conn_id,conn_type,description,host,schema,login,password,port,is_encrypted,is_extra_encrypted,extra
15,emr_default,emr,,,,,,,f,t,gAAAAABowcahcKcyUGihsoNyWb4FR7i-CVjm0R88UsPIIocN9bBuAaJbG4Wpxv1ZNPMGX_Kv1wbXhmsKJ8UCDLPpp7Miz5ll9ee3Ap_z8a8gfPeVP-tT1sxI4qh1Xns1NrWVO91zFBxuxb8s8d8kP8epLAGpN75h2bxxbARYfHzWbbKq7GonmTfX39PF4ZvpdL0m3xJYiDgiz6xxwHHKoH_psZvEOdEpJT2PObqFX1-pc9KqkISC1EulR3P3ZLuYvlbHocqS5I6yWhihIQdwSEo3Os8oMclentkfwWyRSDTuXxn__gRFzoFIZElu33qOR_GGVJujBPGA-bHb-9Ah8MWeiisoCCOuePap-FSdFFgSzHJomlKKNP-areO0XQG2k2stY4mLMD3db4di7nOMV5DRfFkMOKgi5FPr16hFNv04Wlzl-n3Dbo5gx_lQJ_X3z40Xsi6ivKhMFMbIBbbYyxApgdcVJvHODRX-Np8FfNss12h_1QZbNkeUHpu42fNfWyxYVmct_t_8wovC6WRRVGPKs6rIrYZEeTi_5PiwCmEOP8jV3P-veAaF_3G25UWMlZr_tlQiXyn_8-EXprRjtr8_D6Rl5asHG2tuAxMNDv4cbmVEcfmL8cTCaAizUY98a6nMIchvAChgV9rTiu615o95ttaSFUdSot5EEd-pyRTrJtBjzzcFDMxke-JTmG5tLC9zklHve68Xupga2pbNI-2xKA4W8Ru7XP-pbM0eK5yOQ8aOrHi148HNSC16WWS7GmjfQkNbs2H970w6h_AWq3DvAJMuW3eAl5DCFajvG9wCA5Mxh6UTuhxRgxnY59i6sADPqeJ4HkWeBnTfHBvf8Vecm4VMKC9Ysd-kmuEQ4TVvrw5TfU-gtkCbn6ETZnW8lrXMR2Saj2vhj6MFDY9nWhSM0sxyEgzuJB4Jy8XFPrXRHy7oOBsqjRa5zKVPjnzAvKg1Ex78t92hddbzWmbHbE4YMBtNQ7JjzOrPUGFNkycg1YTBAt8pYRET-5UwAhiT4lWKMrJd2IJk2103647xYvtHGHCpUoLAzSFAADdtAVlfNoNFH-qRd-OrEbdo5TiYB293UAh8KjnhaCDAUs43wRV9FBpcahzjqgzZ6_BFTyrZ8bVpjbw3HoNXkxzBU3WcGEjctDPTdxEY3zonssobmFAeMH-So4TNP6rbCxjtOlnL_oFzUzVniS4W_CSSkGI7VSkU8kGAIA94dLgLxihty78TKVtW24_Nw2CFEl5_nxrz-2q_hM_UvI_YSgm05Th5JtcT9bGr-42MVAEdvIJ58pMG276CTDaehF_8FtqUQKYmaCzdHSylIJ2_MUqpDPExbcluDbHhLaoebZAOQIrJ_yEX-2E166xg6B4O7inBvzT_QVJgcPTNgNBJjZR1458qi4T5NrplMRnoJtUzgFuDeM8lrJy7Pp0j1JvrS81a8kGpIjMOc6p8jQMCAiVDN1cprL17Pp-Xi5bX_P3a9Wsd-oO1dcYRBunM4-du4kkdHU0QsLoQ4LNZ2JxnYL3zkd7fb_FfknfqvUH3Yipiw6i4uEXnGtp1vC2k8reVXyCqOrItuvrOm1V1dVnECUeq5cn8NNm-1oJ2REVXHNIgE3OstQSX4fcKnX6dYYG2hUP-UzqVm4i6QASAbPHPmIQfTmOU_TDDCYCka5Xc0W4X7BvguQGe8clEqk1841GWVEZccCixV6wPldebEkz3MGPbgCiVOVB1GMFDmUzd0zSJnfoYNUURlPZ-H51bFOzKqdx2AQwqReJJFuwt38qNDadKq_YJVQRTcnbNq1mkxCEmfdanUfxgImh25dKR8P9cPFKbYG3PbLedG-5HpgCTivf0MBAIWFYHCaptvtkb2mpQeMqJBQ-yDbegV3HUrAXa87RQPohJGLQksFDWaQAg0SVSh87I9KC3zIE5OZpPihfzvAtn3WCc0bEN_DCbJv_ylrwq2JEuNHVTihyjSmHNV32B1vgBCJew3RJ_gWU17Zj5L24I8JVqG5eVC3fpxxYkTO6GyA0aqGVtyp1YGllMCEjDkWvdWUx1ERxf0Dy9KoLdcd6h6nFoKySLDsKr22VAcUm9trdAa8QI_445mE1S9DXfUjw5Y1yKdCkQ5-p7SzIVJvzM6MYi2FjnlqiJaJ-hAhPdXdrJ71jbf3SYjXNq3UARoNXWv3X-b72I_u0iHdLIUylfflAkGO51-scA8CGQNiq71uRisgm4u6IlDfGjgZ70LQCLItl0FELXwY531QqPrBt9v_9yk41DxMpbMUyEpgRvXALfQu5nNzBH_ZkUanXnVx2fysDq-wsLpyxoxH_5EbidsPF_5DBpQW66G2SEtsBjRwFRiXXKsfpVPPeIp2CKDoahZD2mWsN-x1TemPOJXu4ZxKO3VyeLKmWTRAMTLI_ULo_VMus2WW53rzQ9g1ZDL-YDmCZca3WA0oawg_ENAvHFonltPNzmObybbL_m2_SSaniGQBmOKQVTraMtVV-dxZzO5hpGC2noNCaM8cNNP_3ZI87xZQcbroGlG78SzvczH5AUfMjgO3mVR60=
16,facebook_default,facebook_social,,,,,,,f,t,gAAAAABowcahRwNYFiPOb5qbY_EiHRONvOmHTXOeYZ22p-r9AqHAGugHKs1k53V2-ei0ahozoSeGqVBOL2zYvYE0T1ZjyQFtWwbUReETAZkxF9Wsc6kbKLnn0TCHXvswV37nMBzSVQvwRHl7ZPbl4z0Bv2t7nV0ohqP-MGysHNgRmAiw6NhnbZbE8frJEdVxnhFdTZODa3jng85Yum9jIxyM9j2XR4BeX_J7NPrgd4wGhzvGtUAMxFBJ_FO8vZPVWidkyY2MNEJUQwHjWcEVIFuAp-NzM3H5PPLmiqfSEjEyOTSgrvKLvBJGpSmw6vqx57Te05A3ffzmDLRJYAkIkFEEZgD4hFdznbKFopGQStms7sugdTpX70h4z4JhFfFxY5z8LeL5VNpxNcrCB0J6_hs4fIJHYqiZrB1W7-_X0VC8G57MzDMEkgA=
17,fs_default,fs,,,,,,,f,t,gAAAAABowcahSAi334qPNY9CGCl_7CMrFJpL8UKCpGu2JT1SV8bQV15jtyNbmuA9GNzudvywmjuqnewRRy7mtLyKr9zRt2Mk_Q==
18,ftp_default,ftp,,localhost,,airflow,gAAAAABowcah3PH2ZLK4YFTT3Bbp40GPCHPccrCsk2BsL5uLZdyo-k7hAfw3iMNGQTAlCtvvvRwV39JBbfCC1XbHJdMrcV4JvA==,21,t,t,gAAAAABowcah2llkf2qgMsPQenwJ0b3smUHPCxyjzu9S4AbVVKHAlYSm7y-Ry3A71A-vnhjroBLuIC4E0GjVZ_nYlqCnutIPIb-BOZKXEPQYK7C-7EsG9otTEGPka7G9ckZX6Ia2v_c-CmD-dknZWpp68JYMDetq8Q==
19,google_cloud_default,google_cloud_platform,,,default,,,,f,f,
20,hive_cli_default,hive_cli,,localhost,default,,,10000,f,t,gAAAAABowcahtx3yWyxiD2z1vO949192ynBHI_cp2_wCRjJ1upiMMZ862TeFsrCD6Nsr5ZKz2Eb_OeAVv2A2n20RL45Tvf9cq8K1bvvrqIPlKxKIk-cAMv5Ohol6TwXBtRBqi7nPS1uq
21,hiveserver2_default,hiveserver2,,localhost,default,,,10000,f,f,
22,http_default,http,,https://www.httpbin.org/,,,,,f,f,
23,impala_default,impala,,localhost,,,,21050,f,f,
24,kafka_default,kafka,,,,,,,f,t,gAAAAABowcahlT494g9bZlhTUIq-hmPge7HRxm-Hwqz2QED2MP2J3SuzrzH9AWt8xp58gloPUnQFQmEHX-d2BzCoIKhRgJl4qu-kxZYUwOH3cD0eKzUI5SciZSCkjYSaTzlOCIO9GX3h
25,kubernetes_default,kubernetes,,,,,,,f,f,
26,kylin_default,kylin,,localhost,,ADMIN,gAAAAABowcahyT_lUPClIRZQBeZTWe1ifw7lnMHDftYnmZgu7FEZdoygNKLmOXox1ZOrvaVmOYrVVo86O9BoFQojTFsob_Yo2Q==,7070,t,f,
27,leveldb_default,leveldb,,localhost,,,,,f,f,
28,livy_default,livy,,livy,,,,8998,f,f,
29,local_mysql,mysql,,localhost,airflow,airflow,gAAAAABowcah73u-YlLvGMlnjHxDr1auCRFNZo681i7HmFV0jCHGlJrb6aLl1lqg3yOMzmtUjAIwHe_1VGKW4oOMwIYKRvY-ow==,,t,f,
30,metastore_default,hive_metastore,,localhost,,,,9083,f,t,gAAAAABowcahc3mdwLByl2cwJt1QsKbvgladd9hA0r4ZsHcOuAcNcnblD0Y_wZsECYkEfGlIi44t-AFiGsn8u0lq2cNpZBSZfrcWI2YC3760HGfY6HzEu5U=
31,mongo_default,mongo,,mongo,,,,27017,f,f,
32,mssql_default,mssql,,localhost,,,,1433,f,f,
33,mysql_default,mysql,,mysql,airflow,root,,,f,f,
34,opsgenie_default,http,,"",,,,,f,f,
35,oracle_default,oracle,,localhost,schema,root,gAAAAABowcahhEgWTLSYjqxhxwGh1BlPa-y7GbZWVLXdIj7ruuyeCFgLGTv3uzIkPSI_CkoPwThG_0CyPRBwGbyU_GDeSGPSNw==,1521,t,f,
36,oss_default,oss,,,,,,,f,t,gAAAAABowcahVSKTk-4wjxwNeG-rsp6l1DnafRLCC1mY961GAighRX7f8MgKhlWBFBp8RHzt47TFXSPsPlRNpbLbXRONMCtRTTu_CqQI4Cj7e2xNR6MD0SfTqytEu8JySZN-h0DSbcTtbUnD8ELHSCltgJ8HL_0C2hyR1FFHe3za74LEBsMtyPDhx8ej9UmeALlszyn324kUtPCuyNngfWc0047DBbu0KBQ0L9Irv94CQ7Nw_fid8XR0T-vawCCByUcdompkOckG61r6Cm_uZhTlta0-gVP4kw5dz94KZsQGyl8kuNxM4rV3FKoVHiCORQeej4KHdBUo7eH3pjbjPMYqRjWjvt1bjmfrWVncXx0PmOcSw0AA4Jo=
37,pig_cli_default,pig_cli,,,default,,,,f,f,
38,pinot_admin_default,pinot,,localhost,,,,9000,f,f,
39,pinot_broker_default,pinot,,localhost,,,,9000,f,t,gAAAAABowcahLczCARvHY1BNZCCfI4vB2IjagLgajEoKbn5OLVAHSeyJLir5ORJSg0VldjeH8SYVL3Ae06F6ZbFnRK21m5OfBmbWhMY1_WlOMkfi2U6JzQ1Jg_OWEsvbo-1xtS7SC9dW
40,postgres_default,postgres,,postgres,airflow,postgres,gAAAAABowcah_DHCHnUlqCcvcEu8OewU7HVjMTmKHmwesdTVg49gz4Qt8svxuuv2q69emRc-xFL-mtbV9R93u1KxTxjb1aSz5g==,,t,f,
41,presto_default,presto,,localhost,hive,,,3400,f,f,
42,qubole_default,qubole,,localhost,,,,,f,f,
43,redis_default,redis,,redis,,,,6379,f,t,gAAAAABowcahTPjq-Xhz9jtEavPnM5yO_63dYXGgj5otDxjE_uQhs91bIPy2xaToHdFP4pQp3MG6DEzT2KXg1sW4HAIIgFP0TQ==
44,redshift_default,redshift,,,,,,,f,t,gAAAAABowcah7SRSo8Gsx2BTabtJPaE3izS0xMivpYmxJs_YDAPeF9PYMxEODT8glFhpBp22gEpIv6-dfrY9-PXoohSjkhp_LurTy1izCUP3YH4Zikawwa7_BASJOoeHljaln0njIUbzXPwWsZ9C7s77M5R16aoC9OQltCIo0o2T9wRbAWya4BKNVfSpvH7aylhO_Ppu5sWcWq-cWwBP2A-WJImktEn--iyBSncfkqGNQEQ9z86Dzzx3zkSQGAhp5yBwldL-Ojd8kLw_NDdDAgvmAn1oS-hSxv8c4zYZRFDer04uJUlEf89Fuw9WUjcJ8rY_gMtOptFy
45,salesforce_default,salesforce,,,,username,gAAAAABowcah5JWeMjPzQ05oOP5OlyyOhxMe8axR0_o8K2leXj_oVE01EOAdme6PzCZ4p58zqR5bCylZ5a4ZoTmYzO4CvfLyqA==,,t,t,gAAAAABowcahtl07l4cJAf8K11HLfIAxpdhPliBPPJdj4JEMFrfrRbK5ggD8HYIoZLh8cldJjCJIetYm90l6EyVmiR1cIHhKiixVD_Mi0SO0ZVWj8Sb0shfa2bfhSh4Je8X186No8ZJq
46,segment_default,segment,,,,,,,f,t,gAAAAABowcahF-fsoTtlXn3kIx9haf3zOTTrPaHiqZo5wpOlrpNrNa6GtPmFfxH_G7MndpiaYhaXhCAmT_Wf0ljmSgCP0Bmg_rr2xXoTIZnpAQGbFRLPXISCA6S_0lBfk6Rlrki9zJtc
47,sftp_default,sftp,,localhost,,airflow,,22,f,t,gAAAAABowcah2YSMXt1TfZhKW6FIKQjWUmN2nFoAwm16FNGhSQk63IiHTklNCQxkAFRrg0JM9H_ZJEvWfLj-pqJlnZe-SoepGh9amz9cd2hZPLHANus5rw1ckkVVlfCM5DaBAJ6q9gCAhBfAN3-n6PbdtGIOXHevEQ==
49,sqlite_default,sqlite,,/tmp/sqlite_default.db,,,,,f,f,
51,ssh_default,ssh,,localhost,,,,,f,f,
53,tabular_default,tabular,,https://api.tabulardata.io/ws/v1,,,,,f,f,
55,vertica_default,vertica,,localhost,,,,5433,f,f,
57,webhdfs_default,hdfs,,localhost,,,,50070,f,f,
48,spark_default,spark,,yarn,,,,,f,t,gAAAAABowcahgyP5cv1MrXOCIj6B-JcZS4KiILpyC5boJp6cKYbPRAONMTXM5nHz39ObA8LshXSss1qRrVOw28OJ6ow--QFaEUTdwKMSTZFkxAqJt4iQjQw=
50,sqoop_default,sqoop,,rdbms,,,,,f,f,
52,tableau_default,tableau,,https://tableau.server.url,,user,gAAAAABowcahWB1R0OX45e-dUxI6U4Zex-XlqfW09E5fl3pGHeLCnGoPoHAtSCieDEKcdYOGU1wQROyQeKXJ9C2QUiTLRYMCIg==,,t,t,gAAAAABowcahv4eOglaQTnM4j4MkM6jt-nhkq_NsqMigrRNRwVQTNHVLGUdaFheMUtreJneor3Id2zeSfiORTT2PltEqSnSYX-qjOmctLSjHi-0SI50THRA=
54,trino_default,trino,,localhost,hive,,,3400,f,f,
56,wasb_default,wasb,,,,,,,f,t,gAAAAABowcahNBsjgKqUrzMXS8ZKJV5I49bBPtTihfQlNOdNTTTNVWKshyfH8Vw-ZReT_ORxJqFU1W2IzWD0A5xCcG2-fbjYj-JsuVNv9Es5JadouGVridA=
58,yandexcloud_default,yandexcloud,,,default,,,,f,f,
